placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0001,2,0.0822,0.0024,0.0793,0.0002,0.0028
0001,3,0.105,0.0024,0.1011,0.0002,0.0037
0001,4,0.1226,0.0024,0.1192,0.0002,0.0031
0001,6,0.1677,0.0024,0.1645,0.0002,0.0029
0001,8,0.2106,0.0024,0.2074,0.0002,0.003
0001,12,0.3358,0.0024,0.2972,0.0002,0.0384
0002,2,0.1657,0.0453,0.1617,0.0002,0.0037
0002,3,0.1775,0.0403,0.1734,0.0002,0.0038
0002,4,0.1871,0.0295,0.1845,0.0002,0.0025
0002,6,0.2313,0.0289,0.228,0.0002,0.0031
0002,8,0.2743,0.0307,0.2694,0.0002,0.0047
0002,12,0.3612,0.0309,0.3546,0.0003,0.0063
0003,2,0.1675,0.0668,0.1642,0.0002,0.0031
0003,3,0.1836,0.0594,0.1776,0.0002,0.0058
0003,4,0.1874,0.0421,0.1833,0.0002,0.004
0003,6,0.2263,0.0404,0.2213,0.0002,0.0048
0003,8,0.2644,0.0377,0.2607,0.0002,0.0035
0003,12,0.359,0.0396,0.3521,0.0002,0.0067
0004,2,0.192,0.0675,0.1867,0.0002,0.0051
0004,3,0.2056,0.0627,0.2002,0.0002,0.0051
0004,4,0.2114,0.0415,0.2069,0.0002,0.0043
0004,6,0.2483,0.0363,0.2433,0.0002,0.0048
0004,8,0.2923,0.0375,0.2853,0.0002,0.0067
0004,12,0.3749,0.0391,0.3697,0.0002,0.005
0011,2,0.1176,0.0248,0.1134,0.0002,0.0039
0011,3,0.1316,0.0182,0.1278,0.0002,0.0036
0011,4,0.1502,0.0169,0.1472,0.0002,0.0027
0011,6,0.1907,0.0171,0.1882,0.0002,0.0022
0011,8,0.237,0.017,0.2322,0.0002,0.0046
0011,12,0.3242,0.0173,0.3185,0.0002,0.0054
0012,2,0.1808,0.0714,0.1766,0.0002,0.004
0012,3,0.1913,0.0637,0.187,0.0002,0.0041
0012,4,0.2049,0.0475,0.1995,0.0002,0.0053
0012,6,0.2439,0.0456,0.2373,0.0002,0.0064
0012,8,0.2865,0.044,0.2804,0.0002,0.0058
0012,12,0.3632,0.0404,0.3593,0.0003,0.0037
0013,2,0.1924,0.0835,0.1881,0.0002,0.004
0013,3,0.2037,0.0769,0.1985,0.0002,0.005
0013,4,0.213,0.0589,0.2065,0.0002,0.0062
0013,6,0.2449,0.0503,0.2385,0.0002,0.0061
0013,8,0.2878,0.0502,0.2828,0.0002,0.0047
0013,12,0.3746,0.0467,0.3659,0.0003,0.0084
0014,2,0.1947,0.0778,0.1898,0.0002,0.0047
0014,3,0.2093,0.0736,0.2036,0.0002,0.0056
0014,4,0.2189,0.0545,0.2126,0.0002,0.0062
0014,6,0.2522,0.0467,0.2453,0.0002,0.0067
0014,8,0.2922,0.0448,0.2852,0.0002,0.0068
0014,12,0.3791,0.0479,0.3722,0.0002,0.0067
0022,2,0.1873,0.0654,0.1838,0.0002,0.0033
0022,3,0.2046,0.0643,0.1984,0.0002,0.006
0022,4,0.2156,0.0415,0.2101,0.0002,0.0053
0022,6,0.3087,0.0374,0.2425,0.0002,0.066
0022,8,0.2873,0.036,0.2822,0.0002,0.0049
0022,12,0.3736,0.0374,0.3656,0.0003,0.0077
0023,2,0.1967,0.0787,0.1921,0.0002,0.0044
0023,3,0.2062,0.0739,0.2017,0.0002,0.0043
0023,4,0.2195,0.0549,0.2144,0.0002,0.0049
0023,6,0.2499,0.0465,0.2449,0.0003,0.0047
0023,8,0.2899,0.0429,0.285,0.0002,0.0047
0023,12,0.3745,0.0439,0.3689,0.0002,0.0054
0024,2,0.2076,0.081,0.1984,0.0002,0.009
0024,3,0.2124,0.0748,0.2081,0.0002,0.0041
0024,4,0.2258,0.0536,0.2195,0.0002,0.006
0024,6,0.2561,0.0417,0.25,0.0002,0.0058
0024,8,0.2944,0.0392,0.2878,0.0002,0.0064
0024,12,0.3797,0.0406,0.3717,0.0003,0.0077
0033,2,0.2021,0.0902,0.1961,0.0002,0.0058
0033,3,0.2113,0.0814,0.2058,0.0002,0.0053
0033,4,0.2306,0.0648,0.2196,0.0002,0.0108
0033,6,0.257,0.0525,0.2495,0.0002,0.0073
0033,8,0.2903,0.0479,0.2852,0.0002,0.0049
0033,12,0.3733,0.0442,0.3676,0.0003,0.0055
