placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0001,32,0.0297,0.0003,0.0262,0.0003,0.0033
0001,64,0.0398,0.0003,0.036,0.0003,0.0035
0001,128,0.0623,0.0003,0.0583,0.0004,0.0036
0001,256,0.1102,0.0003,0.1065,0.0004,0.0033
0001,512,0.2031,0.0003,0.1996,0.0004,0.0031
0001,1024,0.4122,0.0003,0.4079,0.001,0.0032
0002,32,0.0344,0.0026,0.0311,0.0003,0.0031
0002,64,0.0427,0.0026,0.039,0.0003,0.0034
0002,128,0.0668,0.0035,0.0636,0.0003,0.0029
0002,256,0.1164,0.0031,0.1126,0.0003,0.0036
0002,512,0.2148,0.0048,0.2103,0.0005,0.004
0002,1024,0.4301,0.0088,0.4258,0.0002,0.0042
0003,32,0.0362,0.0045,0.0323,0.0002,0.0037
0003,64,0.0449,0.0047,0.0406,0.0003,0.004
0003,128,0.067,0.0041,0.0631,0.0003,0.0036
0003,256,0.1185,0.005,0.1144,0.0004,0.0037
0003,512,0.2138,0.0066,0.2103,0.0001,0.0033
0003,1024,0.4344,0.0119,0.4291,0.0002,0.0051
0004,32,0.0364,0.0043,0.0328,0.0003,0.0033
0004,64,0.0451,0.0036,0.0407,0.0002,0.0041
0004,128,0.0677,0.0038,0.0635,0.0003,0.0039
0004,256,0.1191,0.0053,0.1151,0.0004,0.0036
0004,512,0.2175,0.0072,0.2132,0.0002,0.0041
0004,1024,0.4383,0.0137,0.434,0.0002,0.0041
0011,32,0.032,0.0023,0.0279,0.0002,0.0038
0011,64,0.0421,0.0031,0.0382,0.0003,0.0036
0011,128,0.0636,0.0027,0.0595,0.0003,0.0038
0011,256,0.112,0.0021,0.1078,0.0004,0.0038
0011,512,0.2073,0.0023,0.2028,0.0005,0.004
0011,1024,0.4131,0.002,0.4091,0.0002,0.0037
0012,32,0.0347,0.004,0.0308,0.0002,0.0036
0012,64,0.0451,0.0042,0.0409,0.0003,0.004
0012,128,0.0679,0.0049,0.0644,0.0002,0.0032
0012,256,0.1168,0.0049,0.1127,0.0003,0.0037
0012,512,0.2138,0.007,0.21,0.0001,0.0037
0012,1024,0.4297,0.0124,0.4259,0.0002,0.0037
0013,32,0.0371,0.0059,0.0341,0.0003,0.0028
0013,64,0.0456,0.0061,0.0415,0.0003,0.0038
0013,128,0.0665,0.005,0.0625,0.0003,0.0037
0013,256,0.1188,0.0057,0.1136,0.0004,0.0048
0013,512,0.2141,0.0077,0.2103,0.0001,0.0037
0013,1024,0.4297,0.0132,0.426,0.0002,0.0035
0014,32,0.0367,0.0053,0.0329,0.0002,0.0035
0014,64,0.0462,0.0054,0.0418,0.0003,0.0041
0014,128,0.0681,0.0049,0.0633,0.0003,0.0046
0014,256,0.1195,0.0064,0.1149,0.0001,0.0045
0014,512,0.217,0.0084,0.2121,0.0001,0.0047
0022,32,0.0369,0.0054,0.0329,0.0002,0.0038
0022,64,0.0453,0.0059,0.0421,0.0003,0.003
0022,128,0.067,0.0042,0.063,0.0003,0.0037
0022,256,0.1174,0.0054,0.1138,0.0004,0.0033
0022,512,0.2141,0.0059,0.2099,0.0001,0.004
0022,1024,0.4333,0.011,0.4282,0.0002,0.005
0023,32,0.0354,0.0043,0.032,0.0002,0.0032
0023,64,0.0448,0.0046,0.0406,0.0002,0.004
0023,128,0.0701,0.0062,0.0652,0.0003,0.0046
