num_nodes,num_replicas,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
5,5,5,0.2372,0.0389,0.2326,0.0002,0.0044
5,5,10,0.3385,0.0474,0.3312,0.0002,0.007
5,5,20,0.5381,0.0889,0.5272,0.0001,0.0108
5,5,40,1.0507,0.1771,1.0291,0.0001,0.0215
5,5,80,3.6964,0.586,3.6032,0.0002,0.093
5,10,5,0.2783,0.0499,0.2697,0.0002,0.0084
5,10,10,0.3966,0.0695,0.3794,0.0001,0.017
5,10,20,0.6364,0.1303,0.6069,0.0001,0.0294
5,10,40,1.149,0.2258,1.1118,0.0002,0.037
5,15,5,0.2877,0.0635,0.2774,0.0002,0.0101
5,15,10,0.3986,0.079,0.382,0.0001,0.0164
5,15,20,0.6169,0.1276,0.593,0.0001,0.0237
5,15,40,1.1822,0.2489,1.1453,0.0002,0.0367
5,20,5,0.3031,0.0709,0.2867,0.0001,0.0163
5,20,10,0.4254,0.0954,0.4085,0.0001,0.0168
5,20,20,1.2014,0.2927,1.142,0.0002,0.0592
6,6,5,0.5137,0.1036,0.4895,0.0004,0.0238
6,6,10,0.3817,0.0576,0.3554,0.0002,0.0262
6,6,20,0.6254,0.1099,0.5739,0.0001,0.0514
6,6,40,1.1869,0.2016,1.0861,0.0001,0.1007
6,6,80,2.2369,0.3256,2.1993,0.0002,0.0374
6,12,5,0.3153,0.0692,0.2958,0.0002,0.0193
6,12,10,0.4438,0.0874,0.4086,0.0001,0.0351
6,12,20,0.6935,0.1463,0.6328,0.0001,0.0606
6,12,40,1.2019,0.2432,1.1448,0.0002,0.0569
6,18,5,0.3023,0.0717,0.2865,0.0002,0.0156
6,18,10,0.4488,0.1029,0.4142,0.0001,0.0345
6,18,20,0.674,0.1402,0.6158,0.0001,0.058
6,24,5,0.3163,0.0788,0.2999,0.0001,0.0163
6,24,10,0.4629,0.1125,0.4305,0.0001,0.0322
6,24,20,0.6851,0.1603,0.6437,0.0002,0.0411
7,7,5,0.2837,0.0648,0.2702,0.0002,0.0133
7,7,10,0.4003,0.0789,0.3755,0.0002,0.0246
7,7,20,0.6229,0.1109,0.5706,0.0001,0.0522
7,7,40,1.1773,0.2017,1.0868,0.0001,0.0904
7,7,80,2.5029,0.348,2.3067,0.0002,0.1959
7,14,5,0.3106,0.0636,0.2893,0.0002,0.0211
7,14,10,0.4357,0.0851,0.4085,0.0001,0.027
7,14,20,0.6899,0.1476,0.637,0.0001,0.0528
7,14,40,1.2814,0.2396,1.1754,0.0002,0.1057
7,21,5,0.594,0.2196,0.574,0.0002,0.0198
7,21,10,0.8909,0.3256,0.8479,0.0002,0.0429
7,21,20,0.6957,0.1475,0.6297,0.0002,0.0659
7,28,5,0.3146,0.0752,0.2975,0.0001,0.017
7,28,10,0.4596,0.108,0.4274,0.0001,0.032
7,28,20,0.731,0.1665,0.6608,0.0002,0.07
8,8,5,0.268,0.0512,0.2572,0.0002,0.0106
8,8,10,0.3957,0.0717,0.3726,0.0002,0.0229
8,8,20,0.6555,0.1078,0.5751,0.0001,0.0803
8,8,40,1.203,0.2146,1.1015,0.0001,0.1014
8,8,80,2.5096,0.3712,2.3526,0.0003,0.1568
8,16,5,0.3223,0.0793,0.3052,0.0002,0.0168
8,16,10,0.4356,0.0827,0.4096,0.0001,0.0258
8,16,20,0.6994,0.1617,0.6529,0.0001,0.0464
8,16,40,1.298,0.254,1.1952,0.0002,0.1026
8,24,5,0.3105,0.0759,0.2913,0.0001,0.0191
8,24,10,0.4594,0.1185,0.4305,0.0001,0.0287
8,24,20,0.7059,0.1595,0.645,0.0002,0.0606
8,32,5,0.3268,0.0858,0.3084,0.0001,0.0183
8,32,10,0.4774,0.1181,0.4422,0.0002,0.035
8,32,20,0.7446,0.1855,0.682,0.0002,0.0624
