placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0001,16,0.087,0.0007,0.0835,0.0004,0.0031
0001,25,0.1243,0.0006,0.1211,0.0003,0.0029
0001,32,0.1474,0.0006,0.1439,0.0004,0.0031
0001,50,0.2235,0.0006,0.2202,0.0004,0.003
0001,64,0.2837,0.0006,0.2776,0.0004,0.0058
0001,100,0.4406,0.0006,0.4347,0.0004,0.0056
0002,16,0.0993,0.0028,0.0956,0.0004,0.0034
0002,25,0.1378,0.0036,0.1342,0.0004,0.0032
0002,32,0.1581,0.0035,0.1544,0.0003,0.0034
0002,50,0.2375,0.0049,0.2335,0.0003,0.0037
0002,64,0.297,0.0059,0.2918,0.0004,0.0049
0002,100,0.4623,0.0078,0.4564,0.0003,0.0056
0003,16,0.0999,0.0057,0.096,0.0004,0.0036
0003,25,0.1378,0.0057,0.1334,0.0004,0.0041
0003,32,0.1608,0.0057,0.156,0.0004,0.0045
0003,50,0.2436,0.0068,0.2354,0.0004,0.0079
0003,64,0.2968,0.0071,0.2901,0.0004,0.0063
0003,100,0.4632,0.011,0.4587,0.0004,0.0041
0004,16,0.1039,0.005,0.0993,0.0004,0.0041
0004,25,0.1418,0.0044,0.1365,0.0004,0.0049
0004,32,0.1619,0.0047,0.1578,0.0003,0.0038
0004,50,0.2423,0.0064,0.2383,0.0004,0.0036
0004,64,0.3175,0.0083,0.293,0.0003,0.0242
0004,100,0.4705,0.0117,0.4619,0.0005,0.0081
0011,16,0.0908,0.0026,0.087,0.0003,0.0035
0011,25,0.1284,0.0022,0.1244,0.0004,0.0036
0011,32,0.1588,0.0027,0.1487,0.0004,0.0097
0011,50,0.2288,0.0021,0.2241,0.0004,0.0043
0011,64,0.2822,0.0023,0.2781,0.0004,0.0037
0011,100,0.4403,0.0022,0.4354,0.0004,0.0045
0012,16,0.1014,0.0066,0.0969,0.0003,0.0042
0012,25,0.1382,0.0062,0.1346,0.0003,0.0032
0012,32,0.1587,0.0059,0.155,0.0003,0.0035
0012,50,0.2404,0.0072,0.2344,0.0004,0.0057
0012,64,0.3014,0.0105,0.2918,0.0004,0.0091
0012,100,0.4597,0.0118,0.4534,0.0004,0.0059
0013,16,0.1024,0.0084,0.098,0.0003,0.0041
0013,25,0.1384,0.0074,0.1345,0.0004,0.0034
0013,32,0.16,0.0072,0.1565,0.0003,0.0032
0013,50,0.2407,0.0085,0.2347,0.0003,0.0057
0013,64,0.301,0.0105,0.2912,0.0003,0.0095
0013,100,0.4644,0.0124,0.4537,0.0004,0.0103
0014,16,0.1022,0.006,0.098,0.0003,0.004
0014,25,0.1404,0.006,0.1361,0.0004,0.0039
0014,32,0.1629,0.0061,0.158,0.0004,0.0046
0014,50,0.2476,0.0088,0.2394,0.0004,0.0078
0014,64,0.305,0.0105,0.2943,0.0004,0.0104
0014,100,0.4679,0.015,0.4615,0.0004,0.006
0022,16,0.1035,0.0045,0.0979,0.0003,0.0053
0022,25,0.1396,0.0047,0.1355,0.0003,0.0038
0022,32,0.1618,0.0047,0.1573,0.0003,0.0042
0022,50,0.241,0.0058,0.2356,0.0004,0.005
0022,64,0.3001,0.0082,0.2928,0.0004,0.0069
0022,100,0.4675,0.0099,0.459,0.0004,0.008
0023,16,0.1033,0.0055,0.0984,0.0004,0.0045
0023,25,0.1402,0.0053,0.1348,0.0003,0.0051
0023,32,0.1618,0.006,0.1579,0.0004,0.0035
0023,50,0.2466,0.0083,0.2371,0.0004,0.0092
