num_nodes,num_replicas,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
5,5,16,0.0955,0.0033,0.0882,0.0003,0.0069
5,5,25,0.1313,0.004,0.128,0.0003,0.0029
5,5,32,0.1572,0.0042,0.1506,0.0004,0.0063
5,5,50,0.2349,0.0052,0.2291,0.0003,0.0056
5,5,64,0.2922,0.0064,0.2845,0.0004,0.0073
5,5,100,0.4578,0.0087,0.4482,0.0004,0.0092
5,10,16,0.1056,0.0055,0.1002,0.0003,0.0052
5,10,25,0.1474,0.0056,0.1371,0.0003,0.01
5,10,32,0.1681,0.0057,0.1591,0.0004,0.0087
5,10,50,0.2431,0.0069,0.2372,0.0004,0.0055
5,10,64,0.297,0.0077,0.2914,0.0003,0.0054
5,10,100,0.472,0.0105,0.4574,0.0004,0.0142
5,15,16,0.1053,0.0086,0.1,0.0003,0.005
5,15,25,0.1437,0.0074,0.1367,0.0003,0.0066
5,15,32,0.1644,0.0078,0.1591,0.0003,0.0049
5,15,50,0.2464,0.0093,0.2375,0.0003,0.0085
5,15,64,0.3103,0.0096,0.2939,0.0004,0.0161
5,15,100,0.474,0.0139,0.4625,0.0004,0.0111
5,20,16,0.1069,0.0057,0.1003,0.0003,0.0063
5,20,25,0.1432,0.0055,0.1373,0.0003,0.0055
5,20,32,0.1655,0.0062,0.1597,0.0003,0.0055
5,20,50,0.2491,0.0093,0.2394,0.0004,0.0093
5,20,64,0.3148,0.0129,0.2999,0.0004,0.0146
5,20,100,0.4862,0.0205,0.4708,0.0004,0.0151
6,6,16,0.1226,0.0251,0.1139,0.0003,0.0084
6,6,25,0.1601,0.0211,0.1502,0.0004,0.0095
6,6,32,0.1801,0.0213,0.1726,0.0004,0.0071
6,6,50,0.2572,0.0208,0.2486,0.0003,0.0083
6,6,64,0.3099,0.0198,0.3019,0.0004,0.0076
6,6,100,0.4698,0.0187,0.463,0.0004,0.0063
6,12,16,0.1262,0.022,0.1158,0.0003,0.0101
6,12,25,0.1585,0.0174,0.1495,0.0004,0.0087
6,12,32,0.1816,0.0162,0.1721,0.0004,0.0091
6,12,50,0.256,0.0141,0.2466,0.0004,0.009
6,12,64,0.3081,0.0128,0.2993,0.0004,0.0084
6,12,100,0.4702,0.0126,0.4618,0.0004,0.008
6,18,16,0.1211,0.0198,0.111,0.0003,0.0098
6,18,25,0.1555,0.017,0.1472,0.0003,0.008
6,18,32,0.1771,0.0152,0.1676,0.0004,0.0091
6,18,50,0.2512,0.0119,0.242,0.0004,0.0088
6,18,64,0.3048,0.0118,0.2962,0.0004,0.0082
6,18,100,0.4687,0.0124,0.4605,0.0004,0.0078
6,24,16,0.1194,0.0167,0.1098,0.0003,0.0092
6,24,25,0.1557,0.0136,0.1453,0.0003,0.01
6,24,32,0.1781,0.0129,0.1675,0.0004,0.0102
6,24,50,0.2512,0.0106,0.242,0.0004,0.0088
6,24,64,0.3077,0.0108,0.2968,0.0004,0.0105
6,24,100,0.4726,0.0146,0.4635,0.0004,0.0086
7,7,16,0.1132,0.0167,0.1043,0.0003,0.0086
7,7,25,0.1509,0.0162,0.1426,0.0003,0.0079
7,7,32,0.1745,0.0163,0.1655,0.0003,0.0087
7,7,50,0.2521,0.0163,0.2429,0.0004,0.0088
7,7,64,0.3047,0.0156,0.2958,0.0004,0.0086
7,7,100,0.4627,0.0154,0.4564,0.0004,0.0059
7,14,16,0.1226,0.018,0.1119,0.0003,0.0104
7,14,25,0.1577,0.0154,0.1474,0.0004,0.0099
7,14,32,0.1773,0.0131,0.1678,0.0003,0.0091
7,14,50,0.2531,0.0119,0.2432,0.0004,0.0095
7,14,64,0.3057,0.012,0.2974,0.0004,0.0079
7,14,100,0.469,0.0118,0.4607,0.0004,0.0078
7,21,16,0.1679,0.0454,0.1552,0.0027,0.01
7,21,25,0.1536,0.0154,0.1452,0.0003,0.008
7,21,32,0.1769,0.014,0.1668,0.0004,0.0097
7,21,50,0.2528,0.0125,0.2421,0.0004,0.0104
7,21,64,0.3046,0.0116,0.2957,0.0004,0.0085
7,21,100,0.4696,0.0133,0.4604,0.0004,0.0088
7,28,16,0.1188,0.0156,0.1082,0.0003,0.0103
7,28,25,0.1579,0.0135,0.1456,0.0004,0.0119
7,28,32,0.1766,0.0128,0.1673,0.0004,0.009
7,28,50,0.2525,0.0109,0.242,0.0004,0.0101
7,28,64,0.306,0.0108,0.2963,0.0004,0.0092
7,28,100,0.4723,0.0148,0.4634,0.0004,0.0085
8,8,16,0.1103,0.0163,0.1031,0.0004,0.0068
8,8,25,0.153,0.0152,0.1419,0.0004,0.0107
8,8,32,0.1727,0.0145,0.1641,0.0004,0.0082
8,8,50,0.2489,0.0146,0.2402,0.0004,0.0084
8,8,64,0.3031,0.0143,0.2951,0.0005,0.0075
8,8,100,0.4663,0.0154,0.4578,0.0005,0.008
8,16,16,0.1187,0.0171,0.1106,0.0004,0.0077
8,16,25,0.1563,0.0144,0.1465,0.0004,0.0094
8,16,32,0.1766,0.0129,0.168,0.0004,0.0083
8,16,50,0.2522,0.0107,0.242,0.0004,0.0099
8,16,64,0.3057,0.0116,0.2972,0.0004,0.0081
8,16,100,0.4679,0.0126,0.4603,0.0004,0.0072
8,24,16,0.1174,0.0173,0.1083,0.0003,0.0088
8,24,25,0.155,0.0149,0.1453,0.0004,0.0093
8,24,32,0.1748,0.0139,0.1671,0.0004,0.0073
8,24,50,0.2505,0.0112,0.2411,0.0004,0.009
8,24,64,0.3047,0.0115,0.296,0.0004,0.0083
8,24,100,0.4711,0.0138,0.4614,0.0004,0.0093
8,32,16,0.1176,0.0138,0.1073,0.0004,0.0099
8,32,25,0.1553,0.0113,0.1441,0.0004,0.0108
8,32,32,0.1758,0.012,0.1668,0.0004,0.0086
8,32,50,0.25,0.0096,0.241,0.0004,0.0085
8,32,64,0.3067,0.0106,0.297,0.0005,0.0092
8,32,100,0.4762,0.016,0.4667,0.0005,0.0091
