num_nodes,num_replicas,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
5,5,256,0.01,0.0018,0.0066,0.0003,0.0031
5,5,512,0.0132,0.0027,0.0085,0.0003,0.0043
5,5,1024,0.0117,0.0019,0.0075,0.0005,0.0037
5,5,2048,0.0117,0.0023,0.0078,0.0007,0.0032
5,5,4096,0.0121,0.0016,0.0077,0.001,0.0033
5,10,256,0.0123,0.0034,0.0085,0.0003,0.0035
5,10,512,0.0139,0.0041,0.0097,0.0004,0.0039
5,10,1024,0.0186,0.0034,0.009,0.0006,0.009
5,10,2048,0.0154,0.0044,0.0099,0.0008,0.0046
5,15,256,0.0134,0.0048,0.0098,0.0003,0.0032
5,15,512,0.014,0.0039,0.0093,0.0004,0.0043
5,15,1024,0.015,0.0041,0.0096,0.0005,0.0048
5,15,2048,0.0156,0.0049,0.0109,0.0009,0.0038
5,20,256,0.0151,0.005,0.0103,0.0003,0.0044
5,20,512,0.0157,0.0056,0.0109,0.0004,0.0044
5,20,1024,0.0208,0.0045,0.0103,0.0007,0.0098
6,6,256,0.0124,0.0025,0.0078,0.0003,0.0043
6,6,512,0.0105,0.002,0.0072,0.0003,0.003
6,6,1024,0.0178,0.0018,0.0071,0.0004,0.0103
6,6,2048,0.0108,0.0022,0.0075,0.0006,0.0028
6,6,4096,0.0133,0.0025,0.0088,0.0011,0.0033
6,12,256,0.021,0.0047,0.0103,0.0003,0.0104
6,12,512,0.0136,0.0042,0.0098,0.0004,0.0034
6,12,1024,0.02,0.0039,0.0094,0.0005,0.01
6,12,2048,0.015,0.0039,0.0096,0.0008,0.0045
6,18,256,0.0156,0.005,0.0105,0.0003,0.0048
6,18,512,0.0131,0.0039,0.0094,0.0004,0.0033
6,18,1024,0.0139,0.0039,0.0093,0.0005,0.0041
6,24,256,0.0154,0.0057,0.0109,0.0003,0.0042
6,24,512,0.017,0.0048,0.0104,0.0005,0.0061
6,24,1024,0.0168,0.0054,0.0112,0.0006,0.005
7,7,256,0.0147,0.0037,0.0089,0.0003,0.0056
7,7,512,0.0143,0.0034,0.0088,0.0004,0.0051
7,7,1024,0.0139,0.0031,0.0082,0.0004,0.0052
7,7,2048,0.0147,0.0036,0.0091,0.0007,0.005
7,7,4096,0.015,0.0032,0.0093,0.0012,0.0045
7,14,256,0.0167,0.0046,0.0102,0.0003,0.0062
7,14,512,0.0174,0.0046,0.0102,0.0004,0.0068
7,14,1024,0.0198,0.0052,0.0111,0.0006,0.0081
7,14,2048,0.0253,0.0076,0.0136,0.0008,0.011
7,21,256,0.0198,0.005,0.0105,0.0003,0.009
7,21,512,0.0301,0.0098,0.0158,0.0004,0.0138
7,21,1024,0.0254,0.0075,0.0133,0.0006,0.0114
7,28,256,0.0361,0.0167,0.0225,0.0004,0.0133
7,28,512,0.0206,0.0063,0.0121,0.0005,0.008
7,28,1024,0.0697,0.048,0.0543,0.0006,0.0148
8,8,256,0.0264,0.0081,0.0141,0.0003,0.012
8,8,512,0.0229,0.0047,0.0107,0.0004,0.0119
8,8,1024,0.0226,0.0047,0.0108,0.0005,0.0113
8,8,2048,0.018,0.0037,0.0094,0.0007,0.0079
8,8,4096,0.0292,0.0052,0.0123,0.0014,0.0156
8,16,256,0.0213,0.005,0.0102,0.0004,0.0107
8,16,512,0.0185,0.0047,0.0105,0.0005,0.0075
8,16,1024,0.019,0.0048,0.0104,0.0005,0.008
8,16,2048,0.0232,0.0071,0.0132,0.0012,0.0088
8,24,256,0.0208,0.0056,0.0113,0.0003,0.0092
8,24,512,0.0215,0.006,0.0117,0.0005,0.0093
8,24,1024,0.0197,0.0061,0.0117,0.0007,0.0074
8,32,256,0.0216,0.0067,0.0122,0.0004,0.0091
8,32,512,0.0225,0.0066,0.0125,0.0005,0.0095
8,32,1024,0.0238,0.0065,0.0127,0.0008,0.0103
