placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0001,2,0.1201,0.0013,0.117,0.0003,0.0029
0001,4,0.1586,0.0013,0.155,0.0003,0.0032
0001,8,0.2447,0.0013,0.2413,0.0003,0.0031
0001,16,0.3883,0.0013,0.3846,0.0003,0.0034
0002,2,0.1541,0.0028,0.1503,0.0003,0.0034
0002,4,0.1894,0.003,0.186,0.0003,0.0031
0002,8,0.2779,0.003,0.2722,0.0002,0.0055
0002,16,0.4279,0.0059,0.4226,0.0003,0.0049
0003,2,0.1622,0.0121,0.1581,0.0003,0.0038
0003,4,0.1906,0.0091,0.1867,0.0003,0.0037
0003,8,0.2789,0.0113,0.274,0.0003,0.0045
0003,16,0.447,0.0157,0.4371,0.0003,0.0096
0004,2,0.1681,0.0051,0.1647,0.0004,0.003
0004,4,0.2031,0.0059,0.1995,0.0003,0.0033
0004,8,0.2854,0.0063,0.2808,0.0003,0.0042
0004,16,0.4635,0.0127,0.4508,0.0004,0.0123
0011,2,0.134,0.004,0.1307,0.0003,0.003
0011,4,0.1726,0.0031,0.1676,0.0002,0.0048
0011,8,0.265,0.0037,0.2589,0.0004,0.0058
0011,16,0.4165,0.0119,0.4097,0.0004,0.0063
0012,2,0.1622,0.0142,0.1589,0.0003,0.0031
0012,4,0.1969,0.0097,0.1911,0.0002,0.0056
0012,8,0.279,0.0128,0.2735,0.0003,0.0052
0012,16,0.4322,0.0178,0.4242,0.0003,0.0076
0013,2,0.165,0.0172,0.1616,0.0003,0.0031
0013,4,0.1975,0.0135,0.1924,0.0003,0.0048
0013,8,0.288,0.0157,0.2813,0.0003,0.0064
0013,16,0.4355,0.0239,0.4276,0.0004,0.0075
0014,2,0.167,0.0103,0.1636,0.0004,0.003
0014,4,0.211,0.0131,0.2047,0.0003,0.006
0014,8,0.2875,0.0109,0.2829,0.0003,0.0043
0014,16,0.4686,0.0296,0.4541,0.0004,0.0141
0022,2,0.1647,0.0047,0.1605,0.0003,0.0039
0022,4,0.1964,0.0064,0.1929,0.0003,0.0031
0022,8,0.2769,0.0072,0.272,0.0003,0.0045
0022,16,0.4328,0.0132,0.4256,0.0003,0.0069
0023,2,0.1718,0.0136,0.168,0.0003,0.0035
0023,4,0.2028,0.0119,0.1993,0.0003,0.0032
0023,8,0.2864,0.0118,0.2812,0.0003,0.0049
0023,16,0.4435,0.0187,0.4305,0.0005,0.0125
0024,2,0.179,0.0137,0.1742,0.0003,0.0045
0024,4,0.2065,0.0101,0.2026,0.0003,0.0036
0024,8,0.2851,0.0069,0.2797,0.0003,0.0052
0024,16,0.4524,0.0173,0.4436,0.0003,0.0085
0033,2,0.1754,0.0203,0.1718,0.0003,0.0033
0033,4,0.2105,0.0184,0.2057,0.0003,0.0045
0033,8,0.2805,0.0104,0.2755,0.0003,0.0047
0033,16,0.4555,0.0216,0.4388,0.0003,0.0164
0034,2,0.1777,0.0168,0.1744,0.0003,0.003
0034,4,0.2053,0.0112,0.2017,0.0003,0.0033
0034,8,0.2906,0.0145,0.2849,0.0003,0.0054
0034,16,0.4626,0.0255,0.4491,0.0003,0.0132
0044,2,0.1774,0.0143,0.1732,0.0003,0.0039
0044,4,0.2108,0.0075,0.206,0.0003,0.0044
0044,8,0.2921,0.0109,0.2856,0.0004,0.0061
0044,16,0.4734,0.0314,0.4581,0.0004,0.0149
0111,2,0.2144,0.0504,0.2089,0.0004,0.0052
0111,4,0.2431,0.0446,0.2381,0.0003,0.0047
0111,8,0.3249,0.0394,0.3203,0.0003,0.0042
0111,16,0.4583,0.0443,0.4532,0.0003,0.0048
0112,2,0.2005,0.0375,0.1958,0.0003,0.0044
0112,4,0.2303,0.0255,0.2248,0.0004,0.0051
0112,8,0.3085,0.0287,0.3031,0.0003,0.0051
0112,16,0.4426,0.0287,0.4369,0.0003,0.0054
0113,2,0.1942,0.0339,0.1893,0.0004,0.0045
0113,4,0.2253,0.0273,0.2203,0.0003,0.0047
0113,8,0.3055,0.0273,0.3004,0.0003,0.0049
0113,16,0.434,0.0253,0.4296,0.0003,0.0041
0114,2,0.1865,0.0246,0.1816,0.0003,0.0045
0114,4,0.2225,0.0183,0.217,0.0003,0.0052
0114,8,0.2985,0.02,0.2927,0.0003,0.0055
0114,16,0.4345,0.02,0.4275,0.0003,0.0067
0122,2,0.197,0.0318,0.1926,0.0003,0.0041
0122,4,0.2283,0.0242,0.223,0.0004,0.0049
0122,8,0.3054,0.0203,0.2992,0.0003,0.0059
0122,16,0.435,0.0177,0.4307,0.0004,0.0039
0123,2,0.1957,0.0326,0.1906,0.0003,0.0047
0123,4,0.2213,0.0225,0.2164,0.0003,0.0046
0123,8,0.2974,0.0185,0.2921,0.0003,0.005
0123,16,0.4298,0.0187,0.4244,0.0003,0.0051
0124,2,0.186,0.0241,0.181,0.0003,0.0048
0124,4,0.2231,0.0139,0.2181,0.0004,0.0047
0124,8,0.2979,0.014,0.2926,0.0003,0.0049
0124,16,0.4292,0.0142,0.4247,0.0003,0.0042
0133,2,0.1887,0.0308,0.1842,0.0003,0.0042
0133,4,0.2184,0.0211,0.214,0.0004,0.004
0133,8,0.2914,0.0151,0.2874,0.0003,0.0036
0133,16,0.4313,0.0194,0.4254,0.0003,0.0056
0134,2,0.1933,0.0296,0.1881,0.0003,0.0048
0134,4,0.2251,0.0182,0.2196,0.0003,0.0052
0134,8,0.2902,0.0123,0.2835,0.0003,0.0064
0134,16,0.4257,0.0131,0.4212,0.0003,0.0042
0144,2,0.1912,0.0274,0.1851,0.0003,0.0058
0144,4,0.2188,0.0139,0.2147,0.0004,0.0038
0144,8,0.2962,0.0139,0.2909,0.0003,0.005
0144,16,0.4673,0.0241,0.4528,0.0003,0.0141
0222,2,0.2332,0.0589,0.2271,0.0004,0.0057
0222,4,0.2621,0.0483,0.2562,0.0003,0.0055
0222,8,0.3262,0.0292,0.3208,0.0003,0.005
0222,16,0.4514,0.0268,0.4453,0.0003,0.0058
0223,2,0.2285,0.063,0.2232,0.0004,0.005
0223,4,0.2521,0.0444,0.2473,0.0003,0.0044
0223,8,0.3184,0.0299,0.313,0.0003,0.0051
0223,16,0.4479,0.0276,0.4416,0.0003,0.0061
0224,2,0.2202,0.057,0.2144,0.0003,0.0055
0224,4,0.2503,0.0441,0.246,0.0003,0.0039
0224,8,0.3196,0.0295,0.3138,0.0003,0.0055
0224,16,0.447,0.0267,0.4416,0.0003,0.0051
0233,2,0.2221,0.0615,0.2174,0.0003,0.0043
0233,4,0.2507,0.0453,0.2441,0.0003,0.0064
0233,8,0.3167,0.0344,0.3108,0.0003,0.0056
0233,16,0.4458,0.0307,0.4406,0.0003,0.0048
0234,2,0.2215,0.0563,0.2161,0.0003,0.0051
0234,4,0.25,0.0465,0.2444,0.0003,0.0053
0234,8,0.3128,0.0261,0.3073,0.0003,0.0052
0234,16,0.4475,0.0276,0.442,0.0003,0.0052
0244,2,0.2446,0.0658,0.2244,0.0003,0.0199
0244,4,0.2457,0.0416,0.241,0.0004,0.0043
0244,8,0.3217,0.0306,0.3167,0.0003,0.0048
0244,16,0.458,0.0263,0.4451,0.0003,0.0126
0333,2,0.2194,0.0612,0.2146,0.0003,0.0045
0333,4,0.2497,0.051,0.2445,0.0004,0.0049
0333,8,0.3178,0.0332,0.3109,0.0003,0.0066
0333,16,0.45,0.0345,0.4451,0.0003,0.0046
0334,2,0.2219,0.0613,0.2166,0.0003,0.005
0334,4,0.2452,0.0446,0.2393,0.0003,0.0056
0334,8,0.3187,0.0321,0.3124,0.0003,0.006
0334,16,0.4433,0.0255,0.4382,0.0003,0.0049
0344,2,0.2121,0.0527,0.2074,0.0003,0.0043
0344,4,0.2472,0.0417,0.2397,0.0003,0.0071
0344,8,0.3132,0.0252,0.3065,0.0003,0.0063
0344,16,0.4476,0.0262,0.4423,0.0003,0.005
0444,2,0.2151,0.0552,0.2091,0.0004,0.0056
0444,4,0.2448,0.0411,0.239,0.0004,0.0054
0444,8,0.3125,0.0253,0.3055,0.0003,0.0067
0444,16,0.4459,0.024,0.44,0.0003,0.0056
1111,2,0.1409,0.0063,0.1362,0.0003,0.0044
1111,4,0.1728,0.0043,0.1694,0.0003,0.0031
1111,8,0.2583,0.007,0.2538,0.0003,0.0042
1111,16,0.3935,0.0066,0.3888,0.0004,0.0043
1112,2,0.1663,0.0241,0.1623,0.0003,0.0037
1112,4,0.2047,0.0199,0.1992,0.0003,0.0052
1112,8,0.2813,0.0152,0.2752,0.0003,0.0057
1112,16,0.4393,0.0274,0.4309,0.0003,0.0081
1113,2,0.1731,0.0286,0.169,0.0003,0.0039
1113,4,0.201,0.0224,0.1973,0.0003,0.0034
1113,8,0.2846,0.0187,0.2799,0.0003,0.0043
1113,16,0.4332,0.0252,0.4207,0.0003,0.0122
1114,2,0.1771,0.0278,0.1726,0.0003,0.0043
1114,4,0.2103,0.0154,0.2049,0.0003,0.0051
1114,8,0.2894,0.0161,0.2835,0.0003,0.0056
1114,16,0.4496,0.0281,0.435,0.0003,0.0143
1122,2,0.1694,0.0176,0.1649,0.0003,0.0042
1122,4,0.2042,0.0174,0.1998,0.0003,0.0041
1122,8,0.2839,0.0137,0.2784,0.0003,0.0052
1122,16,0.4334,0.0213,0.4258,0.0003,0.0072
1123,2,0.1737,0.0235,0.1695,0.0003,0.0038
1123,4,0.2052,0.0191,0.2011,0.0003,0.0038
1123,8,0.2843,0.0146,0.2782,0.0003,0.0058
1123,16,0.4411,0.0263,0.431,0.0003,0.0098
1124,2,0.1769,0.0206,0.1722,0.0003,0.0044
1124,4,0.2071,0.0149,0.2026,0.0003,0.0041
1124,8,0.2904,0.0147,0.2845,0.0003,0.0055
1124,16,0.4454,0.0263,0.437,0.0003,0.0081
1133,2,0.1722,0.025,0.1687,0.0003,0.0032
1133,4,0.2043,0.0187,0.2001,0.0003,0.0039
1133,8,0.2892,0.0199,0.2834,0.0003,0.0055
1133,16,0.4456,0.0244,0.432,0.0003,0.0133
1134,2,0.1793,0.0246,0.1757,0.0003,0.0033
1134,4,0.2151,0.0193,0.2087,0.0003,0.0062
1134,8,0.2978,0.0234,0.2908,0.0003,0.0067
1134,16,0.449,0.0365,0.4431,0.0003,0.0056
1144,2,0.1844,0.023,0.1801,0.0003,0.004
1144,4,0.2176,0.019,0.2124,0.0003,0.0049
1144,8,0.2926,0.016,0.2865,0.0003,0.0058
1144,16,0.4653,0.0312,0.4535,0.0003,0.0115
1222,2,0.1701,0.012,0.1658,0.0003,0.004
1222,4,0.2044,0.0118,0.2002,0.0003,0.0039
1222,8,0.2784,0.0068,0.2725,0.0003,0.0056
1222,16,0.4414,0.0163,0.4287,0.0004,0.0123
1223,2,0.177,0.023,0.1719,0.0003,0.0048
1223,4,0.205,0.0131,0.201,0.0003,0.0037
1223,8,0.2851,0.0147,0.2798,0.0003,0.005
1223,16,0.4264,0.0175,0.4189,0.0003,0.0072
1224,2,0.1805,0.0195,0.1757,0.0003,0.0045
1224,4,0.2084,0.0097,0.2037,0.0003,0.0045
1224,8,0.2847,0.0099,0.2796,0.0003,0.0048
1224,16,0.4471,0.0252,0.4353,0.0003,0.0115
1233,2,0.178,0.025,0.1736,0.0003,0.0041
1233,4,0.2085,0.0189,0.2042,0.0003,0.0041
1233,8,0.2836,0.0125,0.2766,0.0003,0.0066
1233,16,0.4494,0.0292,0.4387,0.0003,0.0103
1234,2,0.1789,0.0219,0.1749,0.0003,0.0037
1234,4,0.213,0.0145,0.2081,0.0003,0.0046
1234,8,0.2874,0.0138,0.2815,0.0003,0.0057
1234,16,0.4719,0.0418,0.457,0.0003,0.0146
1244,2,0.1832,0.0217,0.1788,0.0003,0.0041
1244,4,0.2145,0.0142,0.2089,0.0003,0.0053
1244,8,0.2991,0.0195,0.2927,0.0003,0.0061
1244,16,0.4661,0.0288,0.451,0.0004,0.0148
1333,2,0.1764,0.0255,0.1722,0.0003,0.0039
1333,4,0.2088,0.018,0.2043,0.0003,0.0043
1333,8,0.2866,0.0161,0.2806,0.0003,0.0057
1333,16,0.4586,0.0249,0.4385,0.0003,0.0197
1334,2,0.1788,0.0243,0.1743,0.0003,0.0042
1334,4,0.21,0.0173,0.2041,0.0003,0.0056
1334,8,0.2899,0.0159,0.2825,0.0002,0.0072
1334,16,0.4692,0.033,0.4524,0.0003,0.0165
1344,2,0.1847,0.0254,0.1793,0.0002,0.0051
1344,4,0.2164,0.0166,0.2109,0.0003,0.0052
1344,8,0.2857,0.0103,0.279,0.0003,0.0064
1344,16,0.4602,0.0272,0.4467,0.0003,0.0131
1444,2,0.1821,0.0194,0.1776,0.0003,0.0041
1444,4,0.2152,0.0149,0.2098,0.0003,0.0051
1444,8,0.2923,0.0127,0.2857,0.0003,0.0062
1444,16,0.4607,0.0271,0.4463,0.0003,0.0141
2222,2,0.1757,0.013,0.1716,0.0003,0.0038
2222,4,0.214,0.0099,0.2089,0.0003,0.0047
2222,8,0.2794,0.0068,0.2741,0.0003,0.005
