name,time,application,num_replicas,batch_size
bert-0,235.661806,bert,12,192
deepspeech2-1,448.66183,deepspeech2,6,640
cifar10-2,641.6618490000001,cifar10,6,4096
cifar10-3,670.661855,cifar10,12,2048
bert-4,710.6618639999999,bert,16,384
deepspeech2-5,827.661896,deepspeech2,8,640
deepspeech2-6,992.661923,deepspeech2,6,640
cifar10-7,1241.661943,cifar10,12,4096
bert-8,1390.661959,bert,16,384
cifar10-9,1491.6621460000001,cifar10,12,4096
bert-10,1493.66215,bert,8,384
cifar10-11,1493.662153,cifar10,4,2048
cifar10-12,1498.6621630000002,cifar10,8,2048
deepspeech2-13,1735.662225,deepspeech2,8,640
imagenet-14,2081.662289,imagenet,10,6400
cifar10-15,2480.662331,cifar10,8,2048
cifar10-16,3204.662445,cifar10,10,2048
bert-17,3520.662479,bert,16,192
deepspeech2-18,3907.6625380000005,deepspeech2,8,320
bert-19,4189.662596,bert,6,384
cifar10-20,4414.662633,cifar10,6,2048
cifar10-21,5033.662713000001,cifar10,8,4096
cifar10-22,5293.662802000001,cifar10,16,4096
cifar10-23,5308.662812,cifar10,10,2048
cifar10-24,5374.662848,cifar10,12,2048
cifar10-25,5395.662854,cifar10,10,4096
cifar10-26,5410.66286,cifar10,16,4096
cifar10-27,5443.662872999999,cifar10,12,4096
cifar10-28,5939.662945,cifar10,10,4096
cifar10-29,6365.663019,cifar10,6,2048
bert-30,6378.66302,bert,16,384
deepspeech2-31,6506.663038000001,deepspeech2,12,320
deepspeech2-32,6652.663061,deepspeech2,8,640
bert-33,6735.663073000001,bert,12,192
bert-34,7193.663139,bert,16,384
cifar10-35,7480.6631879999995,cifar10,6,4096
bert-36,8054.663312999999,bert,12,192
deepspeech2-37,8071.663336,deepspeech2,8,640
deepspeech2-38,8072.663344,deepspeech2,6,640
bert-39,8082.663363,bert,8,192
deepspeech2-40,8407.663419,deepspeech2,6,320
cifar10-41,8507.66346,cifar10,4,4096
cifar10-42,8850.663517,cifar10,6,2048
cifar10-43,9040.663531,cifar10,10,4096
cifar10-44,9208.663556,cifar10,4,4096
yolov3-45,9634.663622,yolov3,4,512
yolov3-46,9640.66363,yolov3,4,512
cifar10-47,10275.663727,cifar10,10,4096
cifar10-48,10438.663775,cifar10,8,2048
cifar10-49,10541.663795999999,cifar10,8,4096
deepspeech2-50,11081.663856000001,deepspeech2,12,320
deepspeech2-51,11120.663869,deepspeech2,8,640
deepspeech2-52,11127.663878,deepspeech2,6,640
deepspeech2-53,11159.663893,deepspeech2,12,640
bert-54,11193.663912,bert,16,384
deepspeech2-55,11500.663951999999,deepspeech2,8,320
bert-56,11533.663978,bert,12,384
deepspeech2-57,12268.664084999999,deepspeech2,6,320
cifar10-58,12735.664134,cifar10,10,2048
deepspeech2-59,13571.664246,deepspeech2,8,640
cifar10-60,13631.664254,cifar10,12,4096
deepspeech2-61,13807.664277000002,deepspeech2,8,320
deepspeech2-62,14108.664319999998,deepspeech2,6,640
bert-63,14259.664352000002,bert,12,192
cifar10-64,14315.664375,cifar10,16,4096
cifar10-65,14945.664486000001,cifar10,4,2048
deepspeech2-66,15310.664531999999,deepspeech2,12,320
deepspeech2-67,15362.664539,deepspeech2,12,320
cifar10-68,15618.664575,cifar10,6,2048
bert-69,16055.664653999998,bert,12,192
bert-70,16221.664687999999,bert,6,384
cifar10-71,16554.664763999997,cifar10,10,4096
deepspeech2-72,16700.664789,deepspeech2,12,320
deepspeech2-73,16789.664821000002,deepspeech2,8,320
deepspeech2-74,16893.664859,deepspeech2,8,320
cifar10-75,16902.664865,cifar10,8,4096
bert-76,17627.665025,bert,8,384
bert-77,18154.665134,bert,12,192
yolov3-78,18164.665135,yolov3,4,512
bert-79,18219.665144,bert,8,192
cifar10-80,18297.66516,cifar10,12,2048
bert-81,18311.665161,bert,8,384
cifar10-82,18443.665221,cifar10,6,2048
cifar10-83,18458.665249,cifar10,12,4096
cifar10-84,18472.665277,cifar10,6,4096
cifar10-85,18476.665285,cifar10,4,4096
cifar10-86,18562.665315000002,cifar10,8,4096
cifar10-87,18654.66534,cifar10,8,4096
bert-88,18670.665343,bert,6,384
bert-89,18700.665352,bert,6,192
cifar10-90,18729.665356,cifar10,12,4096
deepspeech2-91,18825.665379,deepspeech2,6,640
cifar10-92,18836.665382,cifar10,8,2048
cifar10-93,19092.665449,cifar10,4,2048
deepspeech2-94,19225.665471,deepspeech2,12,640
cifar10-95,19280.665484999998,cifar10,4,2048
cifar10-96,19601.665547,cifar10,4,2048
cifar10-97,19807.665586000003,cifar10,12,4096
cifar10-98,19896.665599,cifar10,4,4096
deepspeech2-99,19903.6656,deepspeech2,8,320
cifar10-100,19910.665618,cifar10,10,4096
cifar10-101,19942.66563,cifar10,6,2048
cifar10-102,19969.665648,cifar10,6,2048
cifar10-103,19979.665668999998,cifar10,8,4096
cifar10-104,20126.665724000002,cifar10,8,2048
cifar10-105,20135.665735,cifar10,6,2048
cifar10-106,20145.665745,cifar10,12,2048
deepspeech2-107,20182.665753999998,deepspeech2,6,640
cifar10-108,20245.665773,cifar10,10,4096
