name,time,application,num_replicas,batch_size
ncf-0,4,ncf,1,32768
deepspeech2-1,108,deepspeech2,8,320
yolov3-2,460,yolov3,4,64
cifar10-3,731,cifar10,4,512
ncf-4,732,ncf,1,32768
ncf-5,1144,ncf,1,32768
cifar10-6,1667,cifar10,4,512
ncf-7,2997,ncf,1,32768
ncf-8,3148,ncf,1,32768
ncf-9,3622,ncf,1,32768
cifar10-10,3710,cifar10,4,512
ncf-11,4265,ncf,1,32768
cifar10-12,4300,cifar10,6,2048
ncf-13,4931,ncf,1,32768
cifar10-14,5530,cifar10,6,2048
yolov3-15,5804,yolov3,4,64
cifar10-16,6213,cifar10,6,2048
ncf-17,6616,ncf,1,32768
cifar10-18,6795,cifar10,4,512
yolov3-19,7870,yolov3,4,64
cifar10-20,8453,cifar10,6,2048
cifar10-21,8513,cifar10,4,512
ncf-22,8532,ncf,1,32768
deepspeech2-23,8555,deepspeech2,6,320
ncf-24,10317,ncf,1,32768
cifar10-25,10331,cifar10,6,2048
ncf-26,10641,ncf,1,32768
cifar10-27,11003,cifar10,6,2048
ncf-28,11089,ncf,1,32768
cifar10-29,11989,cifar10,4,512
ncf-30,12114,ncf,1,32768
ncf-31,12132,ncf,1,32768
imagenet-32,12202,imagenet,12,3200
cifar10-33,12554,cifar10,6,2048
cifar10-34,12757,cifar10,6,2048
cifar10-35,12870,cifar10,4,512
ncf-36,13018,ncf,1,32768
ncf-37,13471,ncf,1,32768
bert-38,13833,bert,16,384
yolov3-39,14359,yolov3,4,64
