num_nodes,num_replicas,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
5,5,2,0.3156,0.2044,0.307,0.0002,0.0083
5,5,3,0.3169,0.1854,0.3088,0.0002,0.0079
5,5,4,0.3254,0.1651,0.317,0.0003,0.0082
5,5,6,0.366,0.1528,0.3523,0.0003,0.0135
5,5,8,0.3906,0.1426,0.3827,0.0002,0.0077
5,5,12,0.483,0.139,0.4714,0.0003,0.0113
5,10,2,0.3249,0.206,0.3163,0.0003,0.0083
5,10,3,0.3349,0.1926,0.322,0.0002,0.0127
5,10,4,0.3423,0.1697,0.3304,0.0003,0.0116
5,10,6,0.3593,0.1386,0.3462,0.0003,0.0128
5,10,8,0.4076,0.1456,0.3975,0.0002,0.0099
5,10,12,0.4774,0.1257,0.4642,0.0003,0.0129
5,15,2,0.2924,0.1838,0.2831,0.0003,0.0091
5,15,3,0.3099,0.1751,0.2954,0.0003,0.0142
5,15,4,0.316,0.1604,0.3075,0.0003,0.0083
5,15,6,0.3364,0.1315,0.3272,0.0003,0.0089
5,15,8,0.3765,0.1244,0.3651,0.0003,0.0111
5,15,12,0.4594,0.1189,0.4471,0.0003,0.0121
5,20,2,0.2969,0.1809,0.2832,0.0003,0.0134
5,20,3,0.3026,0.1698,0.2909,0.0003,0.0114
5,20,4,0.3178,0.1557,0.3049,0.0003,0.0126
5,20,6,0.3443,0.1284,0.3272,0.0003,0.0167
5,20,8,0.3679,0.1116,0.3543,0.0003,0.0134
5,20,12,0.4422,0.1017,0.4315,0.0003,0.0104
6,6,2,0.2526,0.1496,0.2444,0.0002,0.008
6,6,3,0.2678,0.1446,0.2598,0.0002,0.0078
6,6,4,0.278,0.1268,0.2698,0.0002,0.008
6,6,6,0.3181,0.1194,0.309,0.0002,0.0089
6,6,8,0.3575,0.1118,0.3469,0.0002,0.0103
6,6,12,0.4426,0.1107,0.4355,0.0003,0.0068
6,12,2,0.3036,0.1865,0.2921,0.0002,0.0113
6,12,3,0.3216,0.1871,0.3114,0.0003,0.0099
6,12,4,0.3297,0.166,0.3206,0.0003,0.0088
6,12,6,0.3466,0.1337,0.3376,0.0003,0.0087
6,12,8,0.392,0.1336,0.3815,0.0002,0.0102
6,12,12,0.4729,0.128,0.4631,0.0003,0.0095
6,18,2,0.2995,0.1922,0.2901,0.0003,0.0092
6,18,3,0.3218,0.1842,0.302,0.0003,0.0196
6,18,4,0.3192,0.1651,0.3099,0.0003,0.009
6,18,6,0.3427,0.141,0.3347,0.0003,0.0077
6,18,8,0.3696,0.1212,0.3581,0.0003,0.0112
6,18,12,0.4545,0.1161,0.4426,0.0003,0.0116
6,24,2,0.2907,0.1782,0.2785,0.0003,0.0119
6,24,3,0.3009,0.1717,0.2905,0.0003,0.0101
