num_nodes,num_replicas,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
5,5,32,0.0334,0.0042,0.0294,0.0002,0.0037
5,5,64,0.0423,0.0043,0.0381,0.0003,0.004
5,5,128,0.0647,0.004,0.0607,0.0003,0.0038
5,5,256,0.1146,0.0045,0.1107,0.0001,0.0038
5,5,512,0.2118,0.005,0.2058,0.0001,0.0059
5,10,32,0.0379,0.0055,0.0338,0.0003,0.0039
5,10,64,0.0451,0.0049,0.0405,0.0002,0.0044
5,10,128,0.0687,0.005,0.0635,0.0001,0.005
5,10,256,0.1193,0.006,0.114,0.0001,0.0051
5,15,32,0.0376,0.0065,0.034,0.0003,0.0033
5,15,64,0.0452,0.0061,0.0411,0.0002,0.0039
5,15,128,0.0685,0.0063,0.0638,0.0001,0.0045
5,15,256,0.1181,0.0066,0.1135,0.0001,0.0045
5,20,32,0.0388,0.0064,0.0347,0.0002,0.0039
5,20,64,0.0471,0.0065,0.0422,0.0002,0.0047
5,20,128,0.0709,0.0082,0.0668,0.0001,0.004
6,6,32,0.0328,0.0039,0.0287,0.0002,0.0038
6,6,64,0.0439,0.0053,0.0388,0.0002,0.0048
6,6,128,0.0677,0.0043,0.0616,0.0003,0.0058
6,6,256,0.1161,0.0049,0.1116,0.0001,0.0043
6,6,512,0.2129,0.0073,0.2095,0.0001,0.0033
6,12,32,0.0373,0.0055,0.0335,0.0002,0.0035
6,12,64,0.0457,0.006,0.042,0.0003,0.0035
6,12,128,0.0679,0.0049,0.0631,0.0001,0.0047
6,12,256,0.1188,0.006,0.1139,0.0001,0.0048
6,18,32,0.0386,0.007,0.0341,0.0002,0.0042
6,18,64,0.0466,0.007,0.042,0.0002,0.0043
6,18,128,0.0702,0.0073,0.0652,0.0001,0.0049
6,24,32,0.0388,0.0082,0.0359,0.0002,0.0026
6,24,64,0.0464,0.0063,0.0423,0.0001,0.0039
6,24,128,0.0724,0.0073,0.0668,0.0001,0.0055
7,7,32,0.0424,0.0091,0.0362,0.0003,0.0058
7,7,64,0.0503,0.0092,0.044,0.0003,0.006
7,7,128,0.073,0.0091,0.0674,0.0004,0.0052
7,7,256,0.1217,0.0078,0.1157,0.0002,0.0059
7,7,512,0.2184,0.0086,0.2125,0.0002,0.0058
7,14,32,0.0456,0.0105,0.0393,0.0003,0.006
7,14,64,0.0525,0.0085,0.0457,0.0003,0.0065
7,14,128,0.0744,0.0091,0.0677,0.0002,0.0065
7,14,256,0.1231,0.0075,0.1166,0.0002,0.0063
7,21,32,0.0481,0.0132,0.0413,0.0003,0.0064
7,21,64,0.0506,0.0085,0.044,0.0001,0.0064
7,21,128,0.0736,0.0084,0.0663,0.0002,0.0072
7,28,32,0.0456,0.0109,0.0387,0.0003,0.0066
7,28,64,0.0508,0.0079,0.0439,0.0002,0.0068
7,28,128,0.0759,0.0095,0.0676,0.0001,0.0082
8,8,32,0.0398,0.006,0.0334,0.0003,0.0061
8,8,64,0.0491,0.0076,0.0426,0.0003,0.0063
8,8,128,0.0721,0.0071,0.0647,0.0004,0.0069
8,8,256,0.1199,0.0069,0.1143,0.0002,0.0054
8,8,512,0.2166,0.0075,0.2112,0.0002,0.0052
8,16,32,0.0438,0.0084,0.0374,0.0003,0.0061
8,16,64,0.0517,0.0075,0.0447,0.0004,0.0066
8,16,128,0.0753,0.0085,0.068,0.0001,0.0072
8,16,256,0.1253,0.0083,0.1182,0.0002,0.0069
8,24,32,0.0469,0.0113,0.0396,0.0003,0.007
8,24,64,0.0506,0.0081,0.0436,0.0001,0.0069
8,24,128,0.0721,0.0083,0.0665,0.0002,0.0055
8,32,32,0.0475,0.013,0.0408,0.0003,0.0063
8,32,64,0.0497,0.0068,0.0428,0.0002,0.0067
8,32,128,0.0717,0.0071,0.0655,0.0002,0.0061
