placement,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
0001,5,0.1897,0.0004,0.1866,0.0003,0.0027
0001,10,0.2801,0.0004,0.2766,0.0003,0.0032
0001,20,0.4578,0.0004,0.4538,0.0003,0.0037
0001,40,0.9069,0.0004,0.9035,0.0002,0.0031
0001,80,2.2544,0.0004,2.2509,0.0003,0.0031
0002,5,0.2396,0.0136,0.236,0.0002,0.0034
0002,10,0.3585,0.0214,0.3427,0.0003,0.0154
0002,20,0.5385,0.0343,0.5303,0.0002,0.008
0002,40,1.1225,0.0696,1.0821,0.0003,0.0401
0002,80,2.1928,0.1415,2.1825,0.0002,0.0102
0003,5,0.2468,0.0262,0.2417,0.0002,0.0048
0003,10,0.3624,0.0425,0.358,0.0003,0.0042
0003,20,0.557,0.0648,0.5508,0.0003,0.0058
0003,40,1.1169,0.1597,1.1068,0.0002,0.0099
0003,80,2.3081,0.2358,2.2877,0.0002,0.0202
0004,5,0.2554,0.0293,0.2492,0.0003,0.006
0004,10,0.3874,0.0382,0.374,0.0004,0.0131
0004,20,0.6194,0.0949,0.6063,0.0003,0.0128
0004,40,1.1102,0.1357,1.0974,0.0001,0.0127
0004,80,2.4718,0.3148,2.357,0.0002,0.1146
0011,5,0.2149,0.0123,0.2111,0.0002,0.0036
0011,10,0.3142,0.0226,0.309,0.0003,0.0049
0011,20,0.5403,0.0291,0.5169,0.0002,0.0232
0011,40,1.0594,0.0818,1.0496,0.0003,0.0095
0011,80,2.1619,0.141,2.1496,0.0002,0.0121
0012,5,0.2429,0.0262,0.2382,0.0002,0.0045
0012,10,0.3799,0.0432,0.3633,0.0002,0.0164
0012,20,0.5698,0.0732,0.5604,0.0003,0.0091
0012,40,1.1898,0.1495,1.1333,0.0002,0.0564
0012,80,2.2729,0.2258,2.2585,0.0001,0.0143
0013,5,0.2592,0.0312,0.2479,0.0004,0.011
0013,10,0.3598,0.0396,0.351,0.0003,0.0085
0013,20,0.6165,0.0831,0.5859,0.0003,0.0303
0013,40,1.0943,0.1369,1.0783,0.0002,0.0159
0013,80,2.3146,0.3135,2.2886,0.0001,0.0259
0014,5,0.269,0.043,0.2619,0.0003,0.0068
0014,10,0.3829,0.0569,0.3726,0.0003,0.01
0014,20,0.5876,0.0972,0.5764,0.0001,0.0111
0014,40,1.2333,0.1913,1.1583,0.0002,0.0749
0014,80,2.3753,0.3351,2.3517,0.0001,0.0234
0022,5,0.2531,0.0301,0.2475,0.0002,0.0054
0022,10,0.3733,0.0343,0.3602,0.0002,0.0128
0022,20,0.6506,0.101,0.6197,0.0003,0.0306
0022,40,1.1093,0.1341,1.0939,0.0002,0.0152
0022,80,2.3635,0.3231,2.316,0.0002,0.0472
0023,5,0.2674,0.0403,0.2574,0.0003,0.0098
0023,10,0.3796,0.0535,0.37,0.0003,0.0093
0023,20,0.5907,0.0921,0.5774,0.0001,0.0131
