num_nodes,num_replicas,local_bsz,step_time,sync_time,gpu_time,data_time,other_time
5,5,2,0.1454,0.0085,0.14,0.0003,0.0051
5,5,4,0.176,0.0056,0.1714,0.0003,0.0043
5,5,8,0.276,0.0151,0.2686,0.0003,0.0071
5,5,16,0.4253,0.0126,0.4157,0.0003,0.0093
5,10,2,0.1815,0.0183,0.1765,0.0003,0.0047
5,10,4,0.2115,0.0109,0.2073,0.0003,0.0039
5,10,8,0.2888,0.0105,0.2824,0.0003,0.0062
5,10,16,0.4572,0.023,0.445,0.0003,0.0118
5,15,2,0.1836,0.0303,0.1791,0.0003,0.0042
5,15,4,0.2151,0.0244,0.2104,0.0003,0.0044
5,15,8,0.5551,0.189,0.5409,0.0003,0.0138
5,15,16,0.4599,0.025,0.4463,0.0003,0.0133
5,20,2,0.1866,0.0257,0.1821,0.0003,0.0042
5,20,4,0.7333,0.3762,0.7153,0.0003,0.0177
5,20,8,0.9083,0.3771,0.8895,0.0004,0.0184
5,20,16,0.4682,0.0238,0.4553,0.0004,0.0126
6,6,2,0.1969,0.0536,0.1916,0.0003,0.005
6,6,4,0.2927,0.0467,0.284,0.0004,0.0084
6,6,8,0.3029,0.0377,0.2978,0.0003,0.0048
6,6,16,0.7951,0.0694,0.7846,0.0003,0.0102
6,12,2,0.4934,0.2302,0.4782,0.0003,0.0148
6,12,4,0.3322,0.0907,0.3229,0.0003,0.009
6,12,8,0.3158,0.0316,0.3104,0.0003,0.0051
6,12,16,0.446,0.0283,0.4407,0.0003,0.005
6,18,2,0.2198,0.0678,0.214,0.0003,0.0054
6,18,4,0.2415,0.049,0.2353,0.0003,0.0058
6,18,8,0.3049,0.0283,0.2994,0.0003,0.0052
6,18,16,0.4398,0.0261,0.4332,0.0003,0.0063
6,24,2,0.2189,0.0642,0.2125,0.0003,0.006
6,24,4,0.2373,0.0371,0.2317,0.0003,0.0052
6,24,8,0.3074,0.0207,0.3002,0.0003,0.0069
6,24,16,0.4376,0.0219,0.4292,0.0002,0.0082
7,7,2,0.1769,0.0293,0.1723,0.0004,0.0042
7,7,4,0.2054,0.0216,0.2008,0.0004,0.0042
7,7,8,0.281,0.0189,0.2768,0.0004,0.0039
7,7,16,0.4197,0.0235,0.4144,0.0003,0.005
7,14,2,0.2143,0.054,0.209,0.0004,0.0049
7,14,4,0.24,0.0364,0.234,0.0004,0.0056
7,14,8,0.3044,0.0209,0.2992,0.0003,0.0048
7,14,16,0.435,0.0182,0.428,0.0003,0.0067
7,21,2,0.214,0.0629,0.2091,0.0004,0.0046
7,21,4,0.2344,0.0423,0.2294,0.0003,0.0046
7,21,8,0.299,0.0214,0.2938,0.0003,0.0049
7,21,16,0.4346,0.0232,0.4282,0.0003,0.0061
7,28,2,0.2168,0.0597,0.2105,0.0003,0.006
7,28,4,0.24,0.0409,0.2339,0.0004,0.0057
7,28,8,0.3026,0.0158,0.2952,0.0003,0.007
7,28,16,0.4259,0.0188,0.4199,0.0002,0.0059
8,8,2,0.1673,0.0203,0.1632,0.0004,0.0037
8,8,4,0.1953,0.013,0.1902,0.0004,0.0047
8,8,8,0.2769,0.0162,0.273,0.0004,0.0035
8,8,16,0.4118,0.0158,0.4063,0.0003,0.0052
8,16,2,0.2063,0.0488,0.2016,0.0004,0.0043
8,16,4,0.2287,0.0304,0.2234,0.0004,0.005
8,16,8,0.3014,0.0173,0.2955,0.0003,0.0056
8,16,16,0.4358,0.0202,0.4304,0.0003,0.0051
8,24,2,0.218,0.0638,0.2114,0.0003,0.0062
8,24,4,0.2373,0.0443,0.2313,0.0003,0.0057
8,24,8,0.3017,0.0224,0.294,0.0003,0.0074
8,24,16,0.4303,0.0235,0.423,0.0003,0.0071
8,32,2,0.2197,0.0608,0.2141,0.0003,0.0053
8,32,4,0.2361,0.0363,0.2298,0.0003,0.006
8,32,8,0.3025,0.0154,0.2963,0.0003,0.0059
8,32,16,0.4301,0.0198,0.4236,0.0002,0.0063
