name,time,application,num_replicas,batch_size
cifar10-0,134,cifar10,6,2048
bert-1,178,bert,12,384
ncf-2,1062,ncf,1,32768
cifar10-3,1389,cifar10,6,2048
cifar10-4,1455,cifar10,6,4096
ncf-5,1504,ncf,1,32768
cifar10-6,1512,cifar10,6,4096
yolov3-7,1600,yolov3,4,512
ncf-8,1799,ncf,1,32768
ncf-9,2364,ncf,1,32768
ncf-10,2533,ncf,1,32768
ncf-11,3262,ncf,1,16384
ncf-12,3457,ncf,1,16384
bert-13,3585,bert,8,384
ncf-14,3820,ncf,1,16384
ncf-15,4045,ncf,1,16384
cifar10-16,4258,cifar10,4,2048
ncf-17,4308,ncf,1,16384
ncf-18,4979,ncf,1,16384
cifar10-19,5395,cifar10,6,4096
cifar10-20,5775,cifar10,4,2048
deepspeech2-21,5852,deepspeech2,6,640
yolov3-22,6062,yolov3,4,512
deepspeech2-23,6505,deepspeech2,8,320
cifar10-24,6715,cifar10,4,2048
ncf-25,8442,ncf,1,32768
ncf-26,9717,ncf,1,32768
cifar10-27,10590,cifar10,4,4096
cifar10-28,10841,cifar10,6,4096
cifar10-29,11034,cifar10,4,2048
ncf-30,11079,ncf,1,32768
yolov3-31,11169,yolov3,4,256
deepspeech2-32,11179,deepspeech2,8,640
ncf-33,11530,ncf,1,16384
ncf-34,11761,ncf,1,32768
cifar10-35,12400,cifar10,6,4096
cifar10-36,13333,cifar10,4,2048
ncf-37,13360,ncf,1,32768
ncf-38,13872,ncf,1,32768
ncf-39,14182,ncf,1,16384
